datetime	laboratory:daune:sbe37_bsh_6966:temperature_0001 [°C]	laboratory:daune:sbe37_bsh_6966:conductivity_0001 [S/m]	laboratory:daune:sbe37_bsh_6966:pressure_0001 [m]	laboratory:daune:sbe37_bsh_6966:salinity_0001 [PSU]
2020-09-19T00:17:58.000	17.7105	4.29986	9.443	32.7633
2020-09-19T00:18:08.000	17.7114	4.29986	9.444	32.7627
2020-09-19T00:18:18.000	17.712	4.29992	9.461	32.7627
2020-09-19T00:18:28.000	17.7125	4.29994	9.455	32.7625
2020-09-19T00:18:38.000	17.7118	4.29984	9.45	32.7621
2020-09-19T00:18:48.000	17.7122	4.29978	9.442	32.7614
2020-09-19T00:18:58.000	17.712	4.29994	9.461	32.7629
2020-09-19T00:19:08.000	17.7124	4.29986	9.433	32.7619
2020-09-19T00:19:18.000	17.7097	4.2995	9.445	32.761
2020-09-19T00:19:28.000	17.7065	4.29909	9.456	32.76
2020-09-19T00:19:38.000	17.7093	4.29941	9.459	32.7606
2020-09-19T00:19:48.000	17.7095	4.29944	9.452	32.7607
2020-09-19T00:19:58.000	17.7104	4.2995	9.419	32.7604
2020-09-19T00:20:08.000	17.7096	4.29961	9.442	32.762
2020-09-19T00:20:18.000	17.7099	4.29953	9.462	32.7611
2020-09-19T00:20:28.000	17.7105	4.2996	9.461	32.7611
2020-09-19T00:20:38.000	17.7107	4.29954	9.432	32.7606
2020-09-19T00:20:48.000	17.7108	4.29956	9.443	32.7606
2020-09-19T00:20:58.000	17.7085	4.29897	9.458	32.7574
2020-09-19T00:21:08.000	17.7096	4.29904	9.444	32.7572
2020-09-19T00:21:18.000	17.7107	4.29924	9.435	32.758
2020-09-19T00:21:28.000	17.7111	4.29934	9.428	32.7585
2020-09-19T00:21:38.000	17.7122	4.29949	9.415	32.7589
2020-09-19T00:21:48.000	17.7115	4.29943	9.438	32.759
2020-09-19T00:21:58.000	17.7122	4.29957	9.446	32.7596
2020-09-19T00:22:08.000	17.712	4.29955	9.444	32.7596
2020-09-19T00:22:18.000	17.7082	4.29938	9.422	32.7612
2020-09-19T00:22:28.000	17.709	4.2991	9.456	32.7582
2020-09-19T00:22:38.000	17.7057	4.29843	9.456	32.755
2020-09-19T00:22:48.000	17.7063	4.29857	9.43	32.7558
2020-09-19T00:22:58.000	17.7085	4.29888	9.435	32.7567
2020-09-19T00:23:08.000	17.7105	4.29915	9.441	32.7574
2020-09-19T00:23:18.000	17.7108	4.29925	9.438	32.758
2020-09-19T00:23:28.000	17.7114	4.29934	9.426	32.7583
2020-09-19T00:23:38.000	17.7136	4.29953	9.443	32.7581
2020-09-19T00:23:48.000	17.7132	4.29962	9.425	32.7592
2020-09-19T00:23:58.000	17.7127	4.29961	9.444	32.7595
2020-09-19T00:24:08.000	17.7131	4.29971	9.419	32.76
2020-09-19T00:24:18.000	17.7123	4.29967	9.424	32.7603
2020-09-19T00:24:28.000	17.7123	4.29969	9.436	32.7605
2020-09-19T00:24:38.000	17.7135	4.29978	9.446	32.7603
2020-09-19T00:24:48.000	17.7103	4.29927	9.435	32.7586
2020-09-19T00:24:58.000	17.7103	4.29948	9.4	32.7603
2020-09-19T00:25:08.000	17.7119	4.29966	9.439	32.7605
2020-09-19T00:25:18.000	17.7114	4.29954	9.431	32.76
